project_code,project_name,mda_name,project_status,location,amount,expenditure_code
ERGP27228202,PROVISION AND INSTALLATION OF SOLAR SYSTEMS,,ONGOING,,162323293.0,
ERGP30226992,DEVELOPMENT AND PRINTING OF CONFLICT SENSITIVITY MANUAL FOR PEACE PRACTITIONERS,,ONGOING,,10500000.0,
ERGP30236583,"ENGAGEMENT OF NGBO AND AGILA YOUTHS / STAKEHOLDERS ON SUSTENANCE OF PEACE WITHIN THE TWO COMMUNITIES IN EBONYI/OHAUKWU FEDERAL CONSTITUENCY, EBONYI STATE.",,ONGOING,Ebonyi,14000000.0,
ERGP30233425,PURCHASE OF OFFICIAL STAFF BUS Budget Office of the Federation            Page 372 / 2790                                  2026 FGN BUDGET,,ONGOING,,35402928.0,
ERGP27228858,I NOS OF SALOON CAR FOR OPERATION,,ONGOING,,41300000.0,
ERGP30228647,RISK-BASED AUDIT & ASSURANCE CAPACITY BUILDING PROGRAMME,,ONGOING,,4200000.0,
ERGP29227155,PURCHASE OF PROFESSIONAL LAPTOP COMPUTERS,,ONGOING,,14000000.0,
ERGP30107819,MEDIA CAPACITY DEVELOPMENT,,ONGOING,,105000000.0,
ERGP30242625,PROVISION OF EMPOWERMENT ITEMS FOR YOUTHS IN ONDO NORTH Budget Office of the Federation             Page 395 / 2790                                          2026 FGN BUDGET,,ONGOING,Ondo,17500000.0,
ERGP30102164,ANNUAL ROUNDTABLE ON CULTURAL ORIENTATION (ARTCO),,ONGOING,,17500000.0,
ERGP30242946,"SUPPLY OF CLASSROOM FURNITURE (DESK AND CHAIRS) IN SELECTED SECONDARY SCHOOLS IN IKWERRE LGA, RIVERS STATE.",,ONGOING,Rivers,35000000.0,
ERGP30243102,"CAPACITY BUILDING/TRAINING IN MINI-LIVESTOCK PRODUCTION FOR YOUTH AND WOMEN ITAPAJI AND IYEMERO COMMUNITIES AND ENVIRONS, IKOLE LGA, EKITI STATE, EKITI",,ONGOING,Ekiti,35000000.0,
ERGP30243311,"YOUTH SENSITIZATION PROGRAM ON AVAILABLE OPPORTUNITIES IN NIGERIA AGAINSTONGOING          140,000,000 JAPA SYNDROME IN OWAN FEDERAL CONSTITUENCY",,,,140000000.0,
ERGP30243429,SUPPLY OF WRITING AND EDUCATIONAL MATERIALS TO STUDENTS IN SELECTED COMMUNITIES IN AROCHUKWU/OHAFIA ABIA STATE.,,ONGOING,Abia,35000000.0,
ERGP22101487,"PRISON BIOMETRICS, ARMS, AMMUNITION AND OTHER SECURITY EQUIPMENT",,ONGOING,,861933854.0,
ERGP14101356,PROVISION OF LOGISTICS FOR COMMAND AND DIVISIONAL OFFICES,,ONGOING,,461613637.0,
ERGP27237357,CONSTRUCTION AND EQUIPPING OF ULTRAMODERN FIRE STATION IN ONDO STATE,,ONGOING,Ondo,700000000.0,
ERGP16229712,SERVICE-WIDE STUDY TOURS AND EXCHANGE PROGRAMMES,,ONGOING,,92044475.0,
ERGP30171121,RE-DESIGN AND RELAUNCH 3 CORE TRAINING MODULES AND CAREER MANAGEMENT DEVELOPMENT IN THE PUBLIC SERVICE,,ONGOING,,269675000.0,
ERGP29224166,"INSTALLATION OF ECM EQUIPMENTS, WORKFLOW AND INTEGRATION",,ONGOING,,38500000.0,
ERGP14208812,PROVISION OF 2NOs.UTILITY VEHICLES,,ONGOING,,193200000.0,
ERGP22231648,ENHANCING COMMUNITY POLICING AND POLICE PUBLIC RELATIONS ACTIVITIES,,ONGOING,,24500000.0,
ERGP23237993,CONSTRUCTION OF A PEDESTRIAN BRIDGE ACROSS THE KANO- MAIDUGURI ROAD,,ONGOING,Kano,700000000.0,
ERGP14240490,"CONSTRUCTION IN ERINJAR FENCING, COMPLETION OF STAFF QTRS ASPHALT DRAINAGES, SPORT PAVILLION PARADE GROUND & SOLAR STREET LIGHTS N7, 000,000,000.00, MALE HOSTELS, FEMALE HOSTELS CLINIC. N3,654,286,277",,ONGOING,,7108000395.0,
ERGP27197916,"CONSTRUCTION OF TYPE II DIVISIONAL POLICE HEADQUARTERS MODIFIED AT IKOGA ZEBBE, BADAGRY LGA LAGOS STATE (N150,000,000.00) CONSTRUCTION OF POLICE STATION AT IWARE AFIJIO LGA OYO STATE (N150,000,000.00)",,ONGOING,Lagos,564117763.0,
ERGP30204129,DIGITAL BACKBONE AND DIGITAL PUBLIC INFRASTRUCTURE,,ONGOING,,772026840.0,
ERGP14237487,"PROVISION OF ALL IN ONE SOLAR STREET LIGHTS IN SHENDAM, AFTER SHENDAM HOTEL NEAR EIGHT MAN QUARTERS, SHENDAM TOWN",,ONGOING,,35000000.0,
ERGP27228544,FURNISHING OF HEAD OFFICE,,ONGOING,,49000000.0,
ERGP30247497,"SITE CLEARING , SURVEYING AND DOCUMENTATION OF LAND",,NEW,,20000000.0,
ERGP30241183,"CONSTRUCTION OF TWO BLOCKS OF TWO CLASSROOMS AT SELECTED ISLAMIYA SCHOOLS IN BUMBUM, MAIÃ¢â¬â¢ADUA LGA OF DAURA/SANDAMU/MAIÃ¢â¬â ¢ADUA FEDERAL CONSTITUENCY, KATSINAÃÂ ÃÂ STATE.",,ONGOING,,52500000.0,
ERGP30241689,EMPOWERMENT AND TRAINING FOR UNSERVED WOMEN AND YOUTH IN RURAL COMMUNITIES WITHIN KATSINA STATE.,,ONGOING,Katsina,46536000.0,
ERGP30125346,NACA HIV COORDINATION PROJECT,,ONGOING,,97629700.0,
ERGP10235912,PROCUREMENT AND INSTALLATION OF SOLAR POWERED INVERTERS IN THE COMMISSION'S HEADQUARTERS ZONAL LIAISON OFFICES,,ONGOING,,155400000.0,
ERGP27194857,REHABILITATION OF DILAPEDATED OFFICE BUILDING OF THE COMMISSION,,ONGOING,,35505876.0,
ERGP30228297,MONUMENTATION OF RESOLVED INTER STATE BOUNDARIES WITH MAIN AND INTERMEDIATE PILLAR (SOUTH WEST),,ONGOING,,126000000.0,
ERGP30233106,DEVELOPMENT OF INTER-AGENCY MARITIME BOUNDARY COLLABORATION FRAMEWORK,,ONGOING,,7000000.0,
ERGP30235948,"EROSION CONTROL IN DUKKU/NAFADA FEDERAL CONSTITUENCY, GOMBE STATE (ERGP20243205)",,ONGOING,Gombe,70000000.0,
ERGP30236003,"REHABILITATION AND FURNISHING OF CLASSROOMS AT COMMUNITY HIGH SCHOOL IBADAN, OYO STATE",,ONGOING,Oyo,58170000.0,
ERGP10237112,"COMPLETION OF ELECTRIFICATION PROJECT IN BIRNIWA/KIRIKASSAMMA/GURI FEDERAL CONSTITUENCY, JIGAWA STATE",,ONGOING,Jigawa,54999000.0,
ERGP12236998,"SURFACE DRESSING AND ASPHALT ON 1.1KM ROAD IN BETE, TARABA STATE",,ONGOING,Taraba,175000000.0,
ERGP22236515,TRAINING ON ICT AND ECOMMERCE FOR WOMEN AND YOUTH IN IKEJA FEDERAL CONSTITUENCY LOT 1-2,,ONGOING,,105070000.0,
ERGP22236568,"PROVISION OF FERTILIZER, IMPROVED VARIETIES OF RICE AND MAIZE SEEDS AND HERBICIDES FOR FARMERS IN IBI LGA, TARABA STATE",,ONGOING,Taraba,70000000.0,
ERGP22236622,PROVISION AND INSTALLATION OF RG SOLAR LIGHTS IN ENUGU NORTH SENATORIAL DISTRICT,,ONGOING,Enugu,21000000.0,
ERGP22236699,PURCHASE AND INSTALLATION OF 1NO 500KV TRANSFORMER IN TURU 8 WARD PLATEAU STATE,,ONGOING,Plateau,35000000.0,
ERGP22236740,CONSTRUCTION AND FURNISHING OF BLOCK OF CLASSROOMS IN EDU LOCAL GOVERNMENT IN KWARA NORTH SENATORIAL DISTRICT,,ONGOING,Kwara,70000000.0,
ERGP22236780,POVERTY ALLEVIATION/EMPOWERMENT FOR WOMEN IN ZAMFARA NORTH SENATORIAL DISTRICT,,ONGOING,Zamfara,28000000.0,
ERGP22236827,"CONSTRUCTION OF MARKET STALLS IN SELECTED MARKETS IN IKONO/INI FEDERAL CONSTITUENCY, AKWA IBOM.",,ONGOING,Akwa Ibom,70000000.0,
ERGP22236901,"PURCHASE AND SUPPLY OF GRINDING MACHINES FOR EMPOWERMENT IN IFAKO IJAIYE FEDERAL CONSTITUENCY, LAGOS STATE.",,,Lagos,,
ERGP22236964,SUPPLY OF GRINDING AND SEWING MACHINES FOR WIDOWS IN SOME SELECTED COMMUNITIES IN KANO CENTRAL SENATORIAL DISTRICT.,,ONGOING,Kano,21000000.0,
ERGP22237035,SKILS AND TRAINING DEVELOPMENT FOR WOMEN AND YOUTH IN POTISKUM LGA YOBE STATE,,ONGOING,Yobe,175000000.0,
ERGP22237054,PROVISION AND INSTALLATION OF RG SOLAR LIGHTS IN ONDO CENTRAL SENATORIAL DISTRICT,,ONGOING,Ondo,14000000.0,
ERGP22237097,"PROVISION OF SOLAR STREET LIGHT IN SOME SELECTED AREAS IN BINJI/SILAME FEDERAL CONSTITUENCY, SOKOTO STATE",,ONGOING,Sokoto,18333000.0,
ERGP23236492,"RENOVATION AND FURNISHING OF THE COMMUNITY SECONDARY SCHOOL RUMUEKINIONGOING              70,000,000 IN OBIO/AKPOR FEDERAL CONSTITUENCY, RIVERS STATE.",,,Rivers,70000000.0,
ERGP25236749,"CONSTRUCTION AND FURNISHING OF PRIMARY HEALTH CARE CENTRE IN BAJOGA EAST AREAS OF GOMBE NORTH SENATORIAL DISTRICT, GOMBE STATE",,ONGOING,Gombe,175000000.0,
ERGP28236677,"PROVISION AND INSTALLATION OF SOLAR POWERED BOREHOLE IN NING/BURRA TOWNS, NINGI LOCAL GOVERNMENT, BAUCHI STATE",,ONGOING,Bauchi,70000000.0,
ERGP28237021,"PROVISION AND INSTALLATION OF SOLAR BOREHOLES IN POTISKUM LGA, YOBE STATEONGOING           175,000,000",,,Yobe,175000000.0,
ERGP30235984,"PROVISION AND INSTALLATION OF SOLAR POWERED STREET LIGHT IN BADE, YUSUFARI AND MACHINA COMMUNITIES IN YOBE NORTH SENATORIAL DISTRICT",,,Yobe,,
ERGP30236031,"SUPPLY AND INSTALLATION OF GARI PROCESSING PLANT AT OMU, OMU-IJEBU ODOGBOLU LGA, OGUN STATE;",,ONGOING,Ogun,56000000.0,
ERGP30236088,SUPPLY OF AGRICULTURAL EQUIPMENTS AND FARM PRODUCE TO FARMERS AND WOMEN IN OBANLIKU/BEKWARRA/OBUDU FEDERAL CONSTITUENCY PAA CROSS RIVER SATE,,ONGOING,Cross River,105000000.0,
ERGP30236116,PROVISION AND INSTALLATION OF SOLAR LIGHT IN CHANCHAGA,,ONGOING,,7000000.0,
ERGP30236150,"1. CONSTRUCTION AND INSTALLATION OF 13 MOTORISEDBOREHOLES ACROSS 5LG OFONGOING              63,000,000 NASARAWA WESTSENATORIAL DISTRICT OF NASARAWA STATE",,,,63000000.0,
ERGP30236191,SUPPLY OF SEWING MACHINES TO WOMEN IN MARABAR MUSAWA KATSINA SOUTH SENATORIAL DISTRICT,,ONGOING,Katsina,17500000.0,
ERGP30236219,"ELECTRIFICATION OF ONYAYI COMMUNITY, OKPOKWU LGA, BENUE SOUTH SENATORIAL DISTRICT",,ONGOING,Benue,140000000.0,
ERGP30236433,"PROVISON OF SOLAR STREET LIGHTS IN AKPOR CLAN AND ELELENWO COMMUNITY INONGOING               70,000,000 OBIO/AKPOR LGA, RIVERS STATE",,,Rivers,70000000.0,
ERGP16232913,IMPLEMENTATION OF PERFORMANCE MANAGEMENT SYSTEM IN BPSR,,ONGOING,,14000000.0,
ERGP27201732,REHABILITATION / REPAIRS OF OFFICE BUILDING,,ONGOING,,10500000.0,
ERGP30212443,CAPITAL BUDGET EXPENDITURE AND IMPLEMENTATION MONITORING EXERCISE,,ONGOING,,14000000.0,
ERGP30230821,ASSESSMENT PROCESS FOR THE NIGERIAN NATIONAL ORDER OF MERIT AWARD,,ONGOING,,24559737.0,
ERGP16193867,IMPLEMENTATION OF MANPOWER DEVELOPMENT STRATEGIES TO IMPROVE AGRICULTURAL PRODUCTIVITY,,ONGOING,,210700000.0,
ERGP30208758,"AGRICULTURE AND FOOD SECURITY STAKEHOLDERS' ANALYSIS AND MAPPING STUDYONGOING               35,209,245",,,,35209245.0,
ERGP30231454,IMPLEMENTATION OF ECOWAS AGRO-ECOLOGY PROGRAMMES IN NIGERIA,,ONGOING,,350000000.0,
ERGP30231571,"STRENTHENING MOBILIZATION & AWARENESS CREATION , NEEDS ASSESMENT IN RURAL COMMUNITIES FOR IMPROVED AGRICULTURAL PRODUCTION",,ONGOING,,91801242.0,
ERGP30237860,"PROVISION OF SOLAR STREET LIGHT AT TUDUN WADA WARDS, GOMBE LGA",,ONGOING,Gombe,17500000.0,
ERGP30237931,"CONSTRUCTION OF RURAL ACCESS ROAD MAJE-KAUDU ROAD IN BAGUDU/SURU FEDERAL CONSTITUENCY, KEBBI STATE",,ONGOING,Kebbi,700000000.0,
ERGP30238006,SUPPLY OF FERTILIZERS TO FARMERS IN JEMA'A AND SANGA LGA KADUNA STATE,,ONGOING,Kaduna,21000000.0,
ERGP30238103,"SUPPLY OF GRAINS TO BAGUDO/SURU FEDERAL CONSTITUENCY, KEBBI STATE",,ONGOING,Kebbi,14000000.0,
ERGP30238139,"CONSTRUCTION OF FEEDER ROADS WITHIN NINGI, DARAZO & MISAU LGAÃ¢â¬â¢S OF BAUCHI CENTRAL SENATORIAL DISTRICT, BAUCHI STATE.(RURAL DEVELOPMENT)",,ONGOING,Bauchi,210000000.0,
ERGP30238191,"CONSTRUCTION OF ALIU KATSINA ROAD, OKE-ODE, IFELODUN LOCAL GOVERNMENT KWARA SOUTH Budget Office of the Federation             Page 625 / 2790                                           2026 FGN BUDGET",,ONGOING,Katsina,350000000.0,
ERGP30238251,"CONSTRUCTION OF HOSTEL, CLASSROOM AND ADMINISTRATIVE FACILITY FOR FOMWAN SCHOOL FOR SPECIAL NEEDS IN OFFA, L.G.A OF KWARA SOUTH",,ONGOING,Kwara,175000000.0,
ERGP30238301,"PROVISION/SUPPLY OF GRAINS TO SELECTED AREAS OF SOUTH WEST GEO-POLITICALONGOING             1,050,000,000 ZONES LOT (1-3)",,,,1050000000.0,
ERGP30238321,COMPLETEION OF THE EKITI/ODO OWA CULTURAL HUB KWARA SOUTH SENATORIAL DISTRICT,,ONGOING,"Ekiti, Kwara",140000000.0,
ERGP30238351,SUPPLY OF SMALL SCALE FARM IMPLEMENTS FOR LOCAL FARMERS IN KAURAN NAMODA LGA,,ONGOING,,70000000.0,
ERGP30238416,DRILLING OF HANDHELD BOREHOLES IN TSANYAWA/GHARI FEDERAL CONSTITUENCY KANO STATE,,ONGOING,Kano,210000000.0,
ERGP30238472,PROVISION OF SOLAR LIGHTS TO SELECTED COMMUNITIES IN SOKOTO TOWN ND SOKOTO STATE,,ONGOING,Sokoto,35000000.0,
ERGP30238520,"SUPPLY OF BAGS OF FERTILIZERS, KNAPSACK SPRAYERS, HERBICIDES, AND PESTICIDES TO FARMERS IN ABEOKUTA NORTH LGA, OGUN STATE",,,Ogun,,
ERGP30192394,ENHANCING CAPACITY FOR IRRIGATION AGRICULTURE FOR DRY SEASON FARMING,,ONGOING,,10500000.0,
ERGP30238667,ONGOING CONSTRUCTION OF RURAL EARTH ROAD IN GWARZO/KABO FEDERAL CONSTITUENCY KANO STATE,,ONGOING,Kano,35000000.0,
ERGP30238690,"SUPPLY AND INSTALLATION OF SOLAR POWERED STREET LIGHT IN KARIM LAMIDO LGAONGOING           210,000,000 IN TARABA NORTH SENATORIAL DISTRICT, TARABA STATE.",,,Taraba,210000000.0,
ERGP30227834,ESTABLISHMENT OF SPIN-OFF COTTAGE INDUSTRIES USING NCAM DEVELOPED TECHNOLOGIES,,ONGOING,,45500000.0,
ERGP30238887,"PROVISION AND DISTRIBUTION OF FARM IMPLEMENTS AND OTHERS INPUTS FOR FARMONGOING             350,000,000 CLUSTERS AND SETTLEMENTS ACROSS ABIA STATE (LOTS 1- 5)",,,Abia,350000000.0,
ERGP30238904,"ENTREPRENEUSHIP TRAINING FOR SELECTED YOUTHS AND WOMEN IN IFAKO JAIYE FEDERAL NCONSTITUENCY,LAGOS STATE",,ONGOING,Lagos,70000000.0,
ERGP30238921,"PROVISION OF EMPOWERMENT MATERIALS TO MARKET WOMEN IN IJEBU CENTRAL FEDERAL CONSTITUENCY, OGUN STATE",,ONGOING,Ogun,210000000.0,
ERGP30239174,"CONSTRUCTION OF MULTIPURPOSE CIVIC CENTRE IN AGAIE LGA, AGAIE/LAPAI FEDERAL CONSTITUENCY, NIGER STATE",,ONGOING,Niger,280000000.0,
ERGP30239203,"PROVISION OF RICE SEEDLINGS AND UREA FERTILIZER TO FARMERS IN JAHUN/MIGA FEDERAL CONSTITUENCY, JIGAWA STATE",,ONGOING,Jigawa,70000000.0,
ERGP30239232,"CONSTRUCTION OF 1 BLOCK OF 6 CLASSROOMS AT ANGLICAN PRIMARY SCHOOL OYEDEJI LAGELU, IN AKINYELE/LAGELU FEDERAL CONSTITUENCY, OYO STATE.",,ONGOING,Oyo,70000000.0,
ERGP30239269,SUPPLY OF GRAINS TO SELECTED COMMUNITIES IN ARGUNGU LOCAL GOVERNMENT AREA OF KEBBI STATE.,,ONGOING,Kebbi,45000136.0,
ERGP30239322,"INSTALLATION OF CCTV SURVEILLANCE EQUIPMENT, FURNISHING & EQUIPPING OF COMMAND & CONTROL IN TORU-ORUA, SAGBAMA LGA, BAYELSA WEST SENATORIAL DISTRICT, BAYELSA STATE.",,ONGOING,Bayelsa,140000000.0,
ERGP30239404,PROCUREMENT AND DISTRIBUTION OF ASSORTED GRAINS FOR SELECTED COMMUNITIES WITHIN KWARA CENTRAL SENATORIAL DISTRICT.,,ONGOING,Kwara,175000000.0,
ERGP30239470,"CONSTRUCTION OF CONCRETE WALK WAY IN OGBOLOMA TOWN, YELGA, BAYELSA CENTRAL SENATORIAL DISTRICT, BAYELSA STATE",,ONGOING,Bayelsa,175000000.0,
ERGP30239527,"EMPOWERMENT OF GINGER, RICE, BEANS AND MAIZE FARMERS WITH ASSORTED AGRICULTURAL IMPLEMENTS TO EASE CULTIVATION IN KADUNA SOUTH SENATORIAL DISTRICT Budget Office of the Federation              Page 642",,ONGOING,Kaduna,140000000.0,
ERGP30239621,"INSTALLATION OF SOLAR POWERED STREETLIGHTS INÃÂ AGAIE/LAPAIFEDERAL CONSTITUENCY, NIGER STATE",,ONGOING,Niger,140000000.0,
ERGP30239694,EMPOWERMENT OF YOUTHSAND ARTISANS ACROSS WARDS IN YEWA SOUTH AND NORTH,,ONGOING,,350000000.0,
ERGP30239761,DEVELOPMENT OF AGRICULTURAL MECHANIZED EQUIPMENT FOR SUSTAINABLE AGRICULTURE IN RURAL AREAS,,ONGOING,,140000000.0,
ERGP30239836,"SUPPLY OF GRINDING MACHINES IN IFAKO/ IJAIYE FED CONST, LAGOS STATE Budget Office of the Federation             Page 644 / 2790                                           2026 FGN BUDGET",,ONGOING,Lagos,35000000.0,
ERGP30224102,"FURNISHIG OF DIRECTORATE, ADMIN AND RESEARCH BLOCK AT THE HEADQUARTERS BADEGGI, NIGER STATE",,ONGOING,Niger,30430946.0,
ERGP30239941,"CONSTRUCTION OF A MODERN MECHANIC VILLAGE WITH FACILITIES IN GWARZO TOWN AT KABO.GWARZO FEDERAL CONSTITUENCY, KANO STATE",,ONGOING,Kano,70000000.0,
ERGP30240031,"INSTALLING SECURITY GADGETS AROUND THE FARMS BESIDE PEACE UNIVERSITY NSUKKA, PHASE 1.",,ONGOING,,70000000.0,
ERGP30240253,PROVISION/SUPPLY OF GRAINS TO RURAL FARMERS TO CUSHION HUNGER IN NORTH CENTRAL STATE,,ONGOING,,350000000.0,
ERGP30104608,"DEVELOPMENT OF SEED SYSTEM FOR GINGER/TUMERIC, POTATO/SWEETPOTATO ANDONGOING                  59,143,428 COCOYAM/YAM",,,,59143428.0,
ERGP30240346,COMMUNITY SUPPORT TRAINING FOR INDIGENT YOUTHS AND WOMEN IN EBONYI LGA EBONYI STATE,,ONGOING,Ebonyi,70000000.0,
ERGP30240417,CONSTRUCTION OF JUNIOR SECONDARY SCHOOL WITH 8 CLASSROOMS AND TOILET FACILITIES IN ERUNWEN IKORODU FEDERAL,,ONGOING,,175000000.0,
ERGP30240767,SUPPLY AND INSTALLATION OF SOLAR STREETLIGHTS IN SAKI WEST/ SAKI EAST/ ATISBO FEDERAL CONSTITUENCY,,ONGOING,,35000000.0,
ERGP30240836,"RENOVATION OF 3 PRIMARY SCHOOLS IN NKPA, BENDE LGA, ABIA NORTH SENATORIALONGOING               70,000,000 DISTRICT, ABIA STATE",,,Abia,70000000.0,
ERGP30171414,GENETIC IMPROVEMENT & CULTIVATION OF THE SHEA TREE,,ONGOING,,4900000.0,
ERGP30104977,REQUIREMENT FOR DISSEMINATION OF IAR RESEARCH RESULTS TO FARMERS ESTABLISHMENT OF TECHNOLOGY ADOPTED VILLAGES AND MONITORING AND EVALUATION OF PERFOMANCE (EXTENSION ATA):,,ONGOING,,31549749.0,
ERGP30241581,CONSTRUCTION OF STORAGE FACILITIES TO PREVENT POST HARVEST LOSSES FOR FARMERS IN SELECT LOCATIONS IN THE NORTH WEST (LOTS 1-10),,ONGOING,,2100000000.0,
ERGP30241642,"EMPOWERMENT AND CAPACITY DEVELOPMENT FOR FARMERS ALONG MAIZE, RICE SORGHUM, COWPEA, AND GROUNDNUT VALUE CHAINS IN NORTHERN NIGERIA (MULTIPLE LOTS)",,ONGOING,,1155000000.0,
ERGP30241703,PROVISION OF INSECTICIDE (IRON FORCE & DOMINATOR) TO ONION FARMERS IN SOKOTO,,ONGOING,Sokoto,70000000.0,
ERGP30241745,FISH EMPOWERMENT PROGRAM FOR INDIGINES OF KANO CENTRAL SENATORIAL DISTRICT.,,ONGOING,Kano,140000000.0,
ERGP30171140,"IMPROVEMENT AND DEVELOPMENT OF PRODUCTION TECHNIQUES FOR ROSES CARNATIONS, CHRYSANTHEMUM, HYDRANGEA AND MARIGOLD FOR SUSTAINABLE ECOMOMIC DEVELOPMENT AND IMPROVED LIVELIHOOD",,ONGOING,,9800000.0,
ERGP30225558,PRODUCTION OF BREEDER AND FOUNDATION SEEDS OF SELECTED HORTICULTURAL CROPS,,ONGOING,,23100000.0,
ERGP30241797,"PURCHASE AND SUPPLY OF GRAINS TO THE LESS PRIVILEGED IN SOME SELECTED COMMUNITIES IN OJU/OBI FEDERAL CONSTITUENCY, BENUE STATE",,ONGOING,Benue,140000000.0,
ERGP30241844,CONSTRUCTION OF RURAL ACCESS ROADS IN SELECTED COMMUNITIES IN NIGER DELTA COMMUNITIES AT 450M PER LOT,,ONGOING,Niger,2520000000.0,
ERGP30241926,"HUMAN CAPITAL DEVELOPMENT AND STRATEGIC EMPOWERNMENT FOR MEN AND WOMEN IN SANGO OTA, IJOMU, IHUNBO AND AGOSASA COMMUNITIES (LOT 1-5)",,ONGOING,,1050000000.0,
ERGP30153637,INTEGRATED FARMING SYSTEMS FOR SUSTAINABLE COCOA COFFEE KOLA CASHEW AND TEA PRODUCTION IN THE EMERGING CLIMATIC CHANGE,,ONGOING,,2800000.0,
ERGP30241986,DISTRIBUTION OF OCP COCOA FERTILIZER AND FARM IMPLEMENT TO COCOA FARMERS IN OGUN STATE,,ONGOING,Ogun,21000000.0,
ERGP30242054,"PROVISION OF SOLAR STREETLIGHTS FOR SELECTED COMMUNINTIES IN BRASS / NEMBE FEDERAL CONSTITUENCY, BAYELSA STATE",,ONGOING,Bayelsa,140000000.0,
ERGP30242116,"PROVISION OF DESKS AND CHAIRS IN SELECTED PRIMARY AND SECONDARY SCHOOLS IN ILAJE/ESE-ODO FEDERAL CONSTITUENCY, ONDO STATE.",,,Ondo,,
ERGP30242146,PROVISION OF ALL IN ONE SOLAR POWERED STREETLIGHTS IN OGBOMOSO NORTH OGBOMOSO SOUTH AND ORIRE FEDERAL CONSTITUENCY,,ONGOING,,140000000.0,
ERGP30242176,PROVISION OF EMPOWERMENT FOR FARMERS AND ARTISAN IN AFIJIO/ATIBA/OYO EAST AND OYO WEST FEDERAL CONSTITUENCY (MULTIPLE LOTS),,ONGOING,Oyo,195300000.0,
ERGP30242257,PURCHASE AND INSTALLATION OF SOLAR LIGHTS IN MUSHIN2 FEDERAL CONSTITUENCY,,ONGOING,,140000000.0,
ERGP30242302,DEVELOPMENT/MANAGEMENT OF FARM CLUSTERS AND PROVISION OF COMMON FACILITIES IN SELECTED LOCATION OF SOUTH WEST & SOUTH SOUTH GEO-POLITICAL ZONE OF NIGERIA (LOT A-I),,ONGOING,,3150000000.0,
ERGP30242438,TRAINING OF YOUTH AND WOMEN ON AGRO MECHANIZED IN SOUTH WEST,,ONGOING,,70000000.0,
ERGP30242484,CONSTRUCTION OF ROAD ON ONDO STREET AGEGUNLE IN KOSOFE FEDERAL CONSTITUENCY LAGOS STATE.,,ONGOING,Ondo,245000000.0,
ERGP30241522,CONSTRUCTION OF ULTRA MODERN TOWN HALLS IN SELECTED SCHOOLS OF SOUTH SOUTH STATES (LOT 1-3),,ONGOING,,1050000000.0,
ERGP30224427,MAINTENANCE AND REHABILITATION OF MATURED RUBBER RESEARCH PLANTATION,,ONGOING,,13650000.0,
ERGP30241533,"TRAINING OF WOMEN AND YOUTHS ON BEST AGRICULTURAL PRACTICES IN AGBA VILLAGE, ONICHA UGO, ANIOCHA NORTH LGA, DELTA STATE. Budget Office of the Federation              Page 696 / 2790                   ",,ONGOING,Delta,7000000.0,
